pose,Angulo,Desviacion_estandar,Factor_dev,Desviacion_estandar_f,Articulacion
1,177.5633518,2.814013783,6,16.8840827,right_hip_angles
1,166.6620841,4.295675929,6,25.77405557,right_knee_angles
1,168.0119258,5.676445571,4,22.70578229,left_knee_angles
2,176.3013717,1.796744047,6,10.78046428,right_hip_angles
2,90.79357322,3.447666785,6,20.68600071,right_knee_angles
2,78.34765068,3.433308852,4,13.73323541,left_knee_angles
3,177.5633518,2.814013783,6,16.8840827,right_hip_angles
3,166.6620841,4.295675929,6,25.77405557,right_knee_angles
3,168.0119258,5.676445571,4,22.70578229,left_knee_angles
4,93.65428137,2.741757016,6,16.4505421,right_hip_angles
4,72.9602313,2.218773398,6,13.31264039,right_knee_angles
4,93.86614204,1.672419213,6,10.034515278,left_knee_angles
5,177.5633518,2.814013783,6,16.8840827,right_hip_angles
5,166.6620841,4.295675929,6,25.77405557,right_knee_angles
5,168.0119258,5.676445571,4,22.70578229,left_knee_angles
