id_exercise|DateTime_Start|DateTime_End|n_poses|n_sets|n_reps|total_poses|seconds_rest_time|Class|Prob|count_pose_g|count_pose|count_rep|count_set|right_elbow_angles_pu|right_hip_angles_pu|right_knee_angles_pu|right_shoulder_angles_cu|right_hip_angles_cu|right_knee_angles_cu|right_shoulder_angles_fp|right_hip_angles_fp|right_ankle_angles_fp|right_hip_angles_fl|right_knee_angles_fl|left_knee_angles_fl|right_shoulder_angles_bd|right_hip_angles_bd|right_knee_angles_bd|left_knee_angles_bd|right_elbow_angles_bd|left_elbow_angles_bd|pose_trainer_cost_min|pose_trainer_cost_max|pose_user_cost
forward_lunge|2023-06-23 19:18:10.764|2023-06-23 19:18:11.332|5|3|1|15|5|forward_lunge|96.0|1|1|1|1||||||||||179|177|165|||||||4.72|25.08|18.6492
forward_lunge|2023-06-23 19:18:11.332|2023-06-23 19:18:21.065|5|3|1|15|5|forward_lunge|77.0|2|2|1|1||||||||||172|85|80|||||||9.07|37.14|16.1118
forward_lunge|2023-06-23 19:18:21.065|2023-06-23 19:18:24.311|5|3|1|15|5|forward_lunge|92.0|3|3|1|1||||||||||178|159|172|||||||4.72|25.08|17.7867
forward_lunge|2023-06-23 19:18:24.311|2023-06-23 19:18:29.790|5|3|1|15|5|forward_lunge|90.0|4|4|1|1||||||||||92|65|103|||||||11.22|37.93|13.7827
forward_lunge|2023-06-23 19:18:29.790|2023-06-23 19:18:33.703|5|3|1|15|5|forward_lunge|88.0|5|5|1|1||||||||||176|170|174|||||||4.72|25.08|19.0599
forward_lunge|2023-06-23 19:18:33.703|2023-06-23 19:18:46.390|5|3|1|15|5|forward_lunge|91.0|6|1|1|2||||||||||179|173|178|||||||4.72|25.08|17.507
forward_lunge|2023-06-23 19:18:46.390|2023-06-23 19:19:24.795|5|3|1|15|5|forward_lunge|84.0|7|2|1|2||||||||||177|86|69|||||||9.07|37.14|14.1524
forward_lunge|2023-06-23 19:19:24.795|2023-06-23 19:19:28.573|5|3|1|15|5|forward_lunge|83.0|8|3|1|2||||||||||175|161|179|||||||4.72|25.08|16.9478
forward_lunge|2023-06-23 19:19:28.573|2023-06-23 19:19:39.084|5|3|1|15|5|forward_lunge|75.0|9|4|1|2||||||||||87|87|92|||||||11.22|37.93|13.4745
forward_lunge|2023-06-23 19:19:39.084|2023-06-23 19:19:43.418|5|3|1|15|5|forward_lunge|86.0|10|5|1|2||||||||||169|162|174|||||||4.72|25.08|18.4713
forward_lunge|2023-06-23 19:19:43.418|2023-06-23 19:19:54.829|5|3|1|15|5|forward_lunge|94.0|11|1|1|3||||||||||179|174|177|||||||4.72|25.08|16.9539
forward_lunge|2023-06-23 19:19:54.829|2023-06-23 19:20:32.200|5|3|1|15|5|forward_lunge|71.0|12|2|1|3||||||||||171|85|82|||||||9.07|37.14|16.059
forward_lunge|2023-06-23 19:20:32.200|2023-06-23 19:20:36.118|5|3|1|15|5|forward_lunge|84.0|13|3|1|3||||||||||177|168|170|||||||4.72|25.08|16.8746
forward_lunge|2023-06-23 19:20:36.118|2023-06-23 19:20:51.779|5|3|1|15|5|forward_lunge|73.0|14|4|1|3||||||||||84|82|94|||||||11.22|37.93|14.1154
forward_lunge|2023-06-23 19:20:51.779|2023-06-23 19:20:55.221|5|3|1|15|5|forward_lunge|91.0|15|5|1|3||||||||||171|172|168|||||||4.72|25.08|18.1061
