id_exercise|DateTime_Start|DateTime_End|n_poses|n_sets|n_reps|total_poses|seconds_rest_time|Class|Prob|count_pose_g|count_pose|count_rep|count_set|right_elbow_angles_pu|right_hip_angles_pu|right_knee_angles_pu|right_shoulder_angles_cu|right_hip_angles_cu|right_knee_angles_cu|right_shoulder_angles_fp|right_hip_angles_fp|right_ankle_angles_fp|right_hip_angles_fl|right_knee_angles_fl|left_knee_angles_fl|right_shoulder_angles_bd|right_hip_angles_bd|right_knee_angles_bd|left_knee_angles_bd|right_elbow_angles_bd|left_elbow_angles_bd|pose_trainer_cost_min|pose_trainer_cost_max|pose_user_cost
forward_lunge|2023-04-26 22:00:10.857|2023-04-26 22:00:12.320|5|2|1|10|5|forward_lunge|65.0|1|1|1|1||||||||||178|172|172|||||||2.32|21.46|28.5185
forward_lunge|2023-04-26 22:00:12.320|2023-04-26 22:00:31.829|5|2|1|10|5|forward_lunge|31.0|2|2|1|1||||||||||165|94|65|||||||17.7|28.75|21.3392
forward_lunge|2023-04-26 22:00:31.829|2023-04-26 22:00:32.658|5|2|1|10|5|forward_lunge|54.0|3|3|1|1||||||||||161|153|146|||||||2.32|21.46|26.966
forward_lunge|2023-04-26 22:00:32.658|2023-04-26 22:00:49.985|5|2|1|10|5|forward_lunge|34.0|4|4|1|1||||||||||85|79|83|||||||20.55|23.7|21.0703
forward_lunge|2023-04-26 22:00:49.985|2023-04-26 22:00:58.002|5|2|1|10|5|forward_lunge|33.0|5|5|1|1||||||||||177|168|171|||||||2.32|21.46|28.2009
forward_lunge|2023-04-26 22:00:58.002|2023-04-26 22:01:06.177|5|2|1|10|5|forward_lunge|54.0|6|1|1|2||||||||||177|170|168|||||||2.32|21.46|27.2027
forward_lunge|2023-04-26 22:01:06.177|2023-04-26 22:01:11.766|5|2|1|10|5|forward_lunge|37.0|7|2|1|2||||||||||179|101|81|||||||17.7|28.75|20.2424
forward_lunge|2023-04-26 22:01:11.766|2023-04-26 22:01:15.156|5|2|1|10|5|forward_lunge|51.0|8|3|1|2||||||||||177|159|176|||||||2.32|21.46|27.1159
forward_lunge|2023-04-26 22:01:15.156|2023-04-26 22:01:37.501|5|2|1|10|5|forward_lunge|33.0|9|4|1|2||||||||||84|81|83|||||||20.55|23.7|20.6924
forward_lunge|2023-04-26 22:01:37.501|2023-04-26 22:01:41.572|5|2|1|10|5|forward_lunge|56.0|10|5|1|2||||||||||164|155|158|||||||2.32|21.46|27.7418
