id_exercise|DateTime_Start|DateTime_End|n_poses|n_sets|n_reps|total_poses|seconds_rest_time|Class|Prob|count_pose_g|count_pose|count_rep|count_set|right_elbow_angles_pu|right_hip_angles_pu|right_knee_angles_pu|right_shoulder_angles_cu|right_hip_angles_cu|right_knee_angles_cu|right_shoulder_angles_fp|right_hip_angles_fp|right_ankle_angles_fp|right_hip_angles_fl|right_knee_angles_fl|left_knee_angles_fl|right_shoulder_angles_bd|right_hip_angles_bd|right_knee_angles_bd|left_knee_angles_bd|right_elbow_angles_bd|left_elbow_angles_bd|pose_trainer_cost_min|pose_trainer_cost_max|pose_user_cost
push_up|2023-05-15 12:38:28.327|2023-05-15 12:38:35.869|3|2|3|18|1|push_up|27.0|1|1|1|1|166|178|174||||||||||||||||0|999|50.4503
push_up|2023-05-15 12:38:35.869|2023-05-15 12:38:37.891|3|2|3|18|1|push_up|26.0|2|2|1|1|88|179|178||||||||||||||||0|999|51.6631
push_up|2023-05-15 12:38:37.891|2023-05-15 12:38:39.202|3|2|3|18|1|push_up|29.0|3|3|1|1|166|177|176||||||||||||||||0|999|60.8677
push_up|2023-05-15 12:38:39.202|2023-05-15 12:38:39.859|3|2|3|18|1|push_up|29.0|4|1|2|1|168|176|176||||||||||||||||0|999|60.0382
push_up|2023-05-15 12:38:39.859|2023-05-15 12:38:40.561|3|2|3|18|1|push_up|29.0|5|2|2|1|100|177|178||||||||||||||||0|999|55.6649
push_up|2023-05-15 12:38:40.561|2023-05-15 12:38:49.569|3|2|3|18|1|push_up|36.0|6|3|2|1|158|174|176||||||||||||||||0|999|60.546
push_up|2023-05-15 12:38:49.569|2023-05-15 12:38:50.009|3|2|3|18|1|push_up|35.0|7|1|3|1|156|174|175||||||||||||||||0|999|56.614
push_up|2023-05-15 12:38:50.009|2023-05-15 12:38:58.842|3|2|3|18|1|push_up|24.0|8|2|3|1|18|174|178||||||||||||||||0|999|58.5545
push_up|2023-05-15 12:38:58.842|2023-05-15 12:39:02.775|3|2|3|18|1|push_up|23.0|9|3|3|1|160|175|178||||||||||||||||0|999|56.7315
push_up|2023-05-15 12:39:02.775|2023-05-15 12:39:09.295|3|2|3|18|1|push_up|25.0|10|1|1|2|164|172|179||||||||||||||||0|999|50.7811
push_up|2023-05-15 12:39:09.295|2023-05-15 12:39:11.666|3|2|3|18|1|push_up|28.0|11|2|1|2|41|175|175||||||||||||||||0|999|56.2884
push_up|2023-05-15 12:39:11.666|2023-05-15 12:39:15.139|3|2|3|18|1|push_up|25.0|12|3|1|2|155|177|177||||||||||||||||0|999|57.5817
push_up|2023-05-15 12:39:15.139|2023-05-15 12:39:15.441|3|2|3|18|1|push_up|25.0|13|1|2|2|157|178|177||||||||||||||||0|999|59.291
push_up|2023-05-15 12:39:15.441|2023-05-15 12:39:16.548|3|2|3|18|1|push_up|27.0|14|2|2|2|95|178|176||||||||||||||||0|999|56.6464
push_up|2023-05-15 12:39:16.548|2023-05-15 12:39:19.556|3|2|3|18|1|push_up|25.0|15|3|2|2|165|174|179||||||||||||||||0|999|59.096
push_up|2023-05-15 12:39:19.556|2023-05-15 12:39:20.278|3|2|3|18|1|push_up|23.0|16|1|3|2|163|175|178||||||||||||||||0|999|58.1015
push_up|2023-05-15 12:39:20.278|2023-05-15 12:39:23.494|3|2|3|18|1|push_up|27.0|17|2|3|2|112|176|179||||||||||||||||0|999|52.0445
push_up|2023-05-15 12:39:23.494|2023-05-15 12:39:24.211|3|2|3|18|1|push_up|23.0|18|3|3|2|156|174|178||||||||||||||||0|999|58.344
